T_T0_s,latitude,longitude,power,Predictions
1409.4909816407196,51.75658376000001,-1.2632873199999994,13345.00768407476,24343.186877675947
1410.4909564540797,51.756558500000004,-1.2632845999999998,-14740.087646776974,6744.193379328875
1411.4909976097997,51.7565339,-1.2632822199999991,-2629.547550586749,-22111.669645414502
1412.4910665509606,51.756508520000004,-1.2632797799999995,1404.7867204525037,766.7838133781394
1413.4911245344001,51.75648245999997,-1.2632778000000007,-5327.646637543028,3240.7611824023766
1414.4911246584402,51.75645784000001,-1.26327584,-15919.780592086061,-7236.293079950268
1415.49111249426,51.75643297999999,-1.2632738799999996,-573.7812066898514,-15444.750246236646
1416.49108757948,51.75640702000001,-1.2632716800000015,-708.0720679586615,4082.0561215382318
1417.4911078784003,51.756380279999995,-1.2632695,-8055.354204128073,539.6163275374728
1418.49113535378,51.75635284,-1.2632675599999996,13591.466372244251,-8575.752666554734
1419.4910422370403,51.756322480000016,-1.2632655399999992,-13529.73465346956,18285.8913332786
1420.49093955978,51.756292419999994,-1.2632633800000004,-23605.345673696567,-20168.316364883438
1421.4909964272401,51.75626381999999,-1.2632614600000005,-22975.54470808922,-25323.135576257526
1422.4910648915802,51.75623764000001,-1.2632595999999991,-46794.199299821696,-16254.167734631352
1423.4911333607804,51.75621692000001,-1.26325872,-24898.265888664468,-46616.888580495324
1424.49120183926,51.75619984000001,-1.2632579400000004,-38490.629764800775,-13572.198634085493
1425.4912379024,51.75618941999999,-1.2632578400000003,-20782.759848608825,-33999.685655388945
1426.49112576944,51.75618476,-1.2632579800000003,-3194.454315274576,-14349.354910713522
1427.4909476851203,51.75618121999996,-1.2632580000000002,-516.7506184613428,9080.856389828336
1428.49088918196,51.75617896000001,-1.2632582999999995,1601.4047658321851,-531.2848401909025
1429.4909331129,51.75617762000006,-1.2632589999999992,3532.6728781844054,1237.5169910377892
1430.49100118132,51.75617626000001,-1.2632588799999993,1259.6089373545155,3418.164185920299
1431.49106926424,51.756175000000006,-1.2632584599999996,2837.5612383968214,-355.2084499214237
1432.4911189696802,51.75617384000007,-1.2632589199999993,2327.7706184997246,2740.8068489388365
1433.4911324450597,51.75617244000001,-1.2632585599999995,-3347.9986479889167,1808.4924114544544
1434.49120044682,51.756171020000004,-1.2632581600000004,-1382.775991550585,-2567.6193892318756
1435.4912168262997,51.75617002000006,-1.2632581799999998,747.0600415427236,-1755.3669681678273
1436.49096726868,51.75617270000004,-1.2632562999999988,315.5579278931607,2932.821422476586
1437.4909767196802,51.75617300000005,-1.2632551800000007,82.55539354200528,2263.889337783715
1438.49084278086,51.756175100000036,-1.2632541200000018,16772.896808185575,-1306.0091179608917
1439.4908936784402,51.75616355999997,-1.2632516799999989,78241.82153147057,21754.869463631865
1440.4909612415202,51.75613662000001,-1.2632487799999996,104884.29269258784,82828.35868567941
1441.49102882842,51.75609830000001,-1.2632459799999993,28762.57885776998,98105.92057535771
1442.4910964057997,51.75605622000002,-1.2632438200000007,-15449.795367311955,-308.35057385611424
1443.49108382682,51.756016400000014,-1.2632405400000004,33048.4552546728,-30629.877533146675
1444.4936892171913,51.75597429787234,-1.263235468085106,60893.77370096497,42718.16940018628
1445.49099049552,51.75592816,-1.2632308600000004,43301.72799720789,59640.99477783975
1446.49105789162,51.75587918000001,-1.2632271200000011,834.7584153989513,31208.254581366476
1447.4911252162603,51.75582992000002,-1.2632244199999991,-11436.301085976018,-11910.110683207764
1448.4911541794,51.75578224,-1.2632212199999993,-9423.100075423767,-16343.89834278519
1449.49109812246,51.75573598000001,-1.26321706,7566.904941472111,-6240.9307715114655
1450.4911293694997,51.75568974000001,-1.2632131000000006,1964.747841420281,13931.61140405473
1451.49110558968,51.75564412000003,-1.2632089000000004,-18730.046257841943,-23.84462096426457
1452.4910918042797,51.75560058000003,-1.26320474,-35021.916166925075,-26443.91297494528
1453.49108556728,51.755560940000024,-1.2632009399999995,-20993.83736953535,-36503.95992520859
1454.49093982682,51.75552402,-1.2631972599999999,-19735.651484526206,-10821.05340491032
1455.4909550808397,51.755488179999986,-1.26319162,39085.27654974572,-10371.336851283197
1456.49102204298,51.755448479999984,-1.2631838600000003,25246.60633133758,48979.842355139335
1457.4910889099199,51.75540649999999,-1.2631764199999995,-26836.84991458926,11837.503141297111
1458.4911557958603,51.75536708,-1.26317038,-26579.69243034201,-41911.84502361036
1459.4912227581199,51.75533136000002,-1.26316598,-6183.9017419271495,-16148.548029506042
1460.4912386558603,51.75529740000002,-1.2631628599999998,3496.9415441939864,-332.7672970076426
1461.4911546657604,51.75526305999999,-1.26315998,-1602.3966056145139,1256.856371931573
1462.4910569140802,51.755228719999984,-1.2631565,-14768.037226783641,-5148.137365023831
1463.4909973858,51.75519620000002,-1.2631508000000005,-27527.70618444606,-17601.251112472914
1464.49105010492,51.75516602,-1.2631429,-27810.420375217716,-26490.534915118253
1465.4910990045403,51.75514032000002,-1.2631318399999996,-45665.76347497495,-20768.27774554613
1466.4911446187803,51.75512200000001,-1.2631224600000008,-41536.09521409024,-44149.553443649056
1467.4911468265598,51.75511294,-1.26311776,-12253.452657671894,-35700.45426555249
1468.4910827301399,51.755110999999964,-1.2631153999999996,-350.61091573945305,-1252.3211236660313
1469.4911322591006,51.75511016000002,-1.2631158399999984,-815.8653726480994,5970.58809315465
1470.4910820148805,51.75511000000002,-1.2631159999999984,-575.2230384611581,967.7598680220134
1471.4910434482401,51.75511000000002,-1.2631159999999984,-19.465759080080705,4819.555095223745
1472.49098538854,51.75511014000003,-1.2631159999999984,766.872165315714,-3418.096877698342
1473.4910131071601,51.75511016000002,-1.2631167600000008,504.1997118208612,-2035.5317877230123
1474.49107925872,51.75511000000002,-1.2631170000000007,-634.8368353553341,4148.308826964023
1475.4911454008197,51.75511000000002,-1.2631170000000007,-618.5490861912716,193.46115565295472
1476.4912115762602,51.75511000000002,-1.263117739999999,-96.71882941700434,-528.9348305131944
1477.4912066934598,51.75510933999999,-1.263117999999999,80.59796456933658,167.13851045556333
1478.491069269,51.75510735999997,-1.2631197600000006,118.37472970286865,805.6349331115416
1479.4909730051002,51.75510699999996,-1.2631191200000016,81.89475947105694,1432.877891355778
1480.4909328124795,51.75510699999996,-1.2631197600000004,-80.21893474432822,1333.735240512366
1481.490985441,51.75510699999996,-1.2631198600000004,-0.9408573032221068,-1055.1994406391414
1482.4910511920998,51.75510699999996,-1.2631200000000005,29.128944627054082,1019.2467500688983
1483.4911170289802,51.75510624000003,-1.2631200000000005,-136.5744813787638,2028.097871146469
1484.4911766383802,51.75510600000003,-1.2631200000000005,-279.92840082096865,-347.8261695244172
1485.4911304996804,51.75510600000003,-1.2631200000000005,-77.50182274621548,190.15260545183105
1486.49115770796,51.75510600000003,-1.2631200000000005,-54.346896315581105,1373.266730944715
1487.4912234113604,51.75510600000003,-1.2631200000000005,55.00048179904913,1272.648231883177
1488.4911659954003,51.75510600000003,-1.2631200000000005,-216.1583992971985,1293.6465341401731
1489.4911226509,51.75510600000003,-1.2631200000000005,-304.4616345909117,348.5544486372646
1490.49105596994,51.75510600000003,-1.2631200000000005,-139.74413969975782,-159.49722793004662
1491.4909805105403,51.75510600000003,-1.2631200000000005,-13.106763778612812,125.01126694999223
1492.4910458992806,51.75510600000003,-1.2631200000000005,51.537456974982994,180.07086748893954
1493.4911112306402,51.75510600000003,-1.2631200000000005,16.10319332561031,155.5989838378663
1494.4911765716597,51.75510600000003,-1.2631200000000005,-10.635414499848446,101.90046896760218
1495.4912210367202,51.75510600000003,-1.2631200000000005,-89.98780890877774,70.90580725769394
1496.4911045692602,51.75510600000003,-1.2631200000000005,-105.74315541991403,15.85327089941751
1497.49093919732,51.75510600000003,-1.2631200000000005,-80.19211559472338,48.22529986437018
1498.49100429988,51.75510600000003,-1.2631200000000005,6.7106061436399225,51.88236812834893
1499.4910693834804,51.75510600000003,-1.2631200000000005,62.1579020396242,121.70141496439824
1500.4911035487803,51.75510600000003,-1.2631201000000003,14.531905455015435,174.91484019415333
1501.4911560342796,51.75510600000003,-1.2631209999999986,-56.97492226771818,131.81115906227527
1502.4910951040602,51.75510600000003,-1.2631209999999986,24.003670070072648,37.26456754144637
1503.4911468885202,51.75510600000003,-1.2631209999999986,34.36879294558666,159.64565042217612
1504.49121187668,51.75510600000003,-1.2631209999999986,-19.442758059470208,122.19865106341456
1505.4912768028598,51.75510600000003,-1.2631209999999986,10.430959236648674,74.33882802083772
1506.4913417766802,51.755105720000046,-1.2631207599999992,534.5977377498949,147.05533769187866
1507.49100988366,51.755101740000015,-1.2631155999999997,20666.524666473513,714.0281954172764
1508.49103049736,51.75509045999999,-1.2631055800000004,28057.204209226693,23559.058926920407
1509.4910951564798,51.75507368,-1.2630905,56846.065011689396,26289.878981842434
1510.491159849,51.7550497,-1.26306832,77445.20905197479,55520.899434326566
1511.4912244937798,51.755019760000025,-1.26303856,44192.0828800034,71535.30929721257
1512.4912322566795,51.75498567999999,-1.26300948,40262.38123071279,24522.425792897855
1513.49123302916,51.75494586,-1.2629922000000007,19537.331712786803,29675.068968831223
1514.4910759352001,51.75490261999998,-1.2629940000000006,-25943.480183118034,9327.859501313504
1515.4911194132198,51.75486092,-1.2630100000000004,-34800.09771750031,-39445.50542391568
1516.4911829803198,51.75482051999998,-1.26303272,-36951.25265285627,-31877.77260178324
1517.4912375686595,51.754780059999995,-1.2630542800000004,-39055.96275124909,-30514.955854067317
1518.49121914366,51.75473868,-1.26306934,-42115.14053535608,-33144.00188636511
1519.4912310359196,51.754697860000014,-1.26307866,-34929.16196444456,-32479.702606419913
1520.4912706516002,51.75465822000003,-1.263083739999999,-15844.884315345651,-25465.538582749236
1521.49132043818,51.75461854000002,-1.26308652,-7807.580771037723,-6320.449814477949
1522.49125595072,51.7545779,-1.2630902400000001,7344.140702528686,-3579.9323138140253
1523.4911562441002,51.75453514000001,-1.2630983199999997,-4837.41639636044,10638.016276487808
1524.4912203690799,51.75449086,-1.2631140799999998,-2694.789386022767,-8637.153972536107
1525.49110476002,51.75444454,-1.2631377000000001,-3846.734945056641,-2788.2253779294365
1526.4910917233196,51.754397520000005,-1.26316382,-46889.39664155265,-2681.5644368694157
1527.4911556909801,51.754351620000016,-1.26319018,-46482.07412226502,-55488.51718158309
1528.4912196633397,51.75430718,-1.2632160199999998,-44092.75008486144,-37340.18392495823
1529.4912836501408,51.75426342,-1.2632408,-47584.10142782722,-34366.56678831584
1530.49132695656,51.7542204,-1.26326472,-56643.80753972145,-43595.95287493918
1531.4912520073196,51.75417963999999,-1.26328544,-75096.47942187038,-45879.55587529149
1532.4910916660997,51.75414263999999,-1.2633030399999996,-80467.81447491556,-67919.80105049004
1533.4911553905604,51.75411055999999,-1.2633178200000001,-79006.9937151388,-69532.72700734496
1534.4912153861799,51.754084420000005,-1.2633286399999997,-66628.08694205502,-63224.89342492609
1535.49120750412,51.75406418000001,-1.2633367599999998,-58275.53108761015,-49849.111253738905
1536.4912112854006,51.754050499999984,-1.2633421600000005,-31989.909163489203,-41965.91415765044
1537.4912069032,51.75404005999999,-1.2633461600000009,-23318.738298264994,-16168.86357816795
1538.4911659906193,51.75403111999999,-1.2633491800000012,-19169.998669925324,-12241.230794390716
1539.49121532894,51.754026040000056,-1.26335082,-2324.86681734937,-12626.042134483729
1540.49127888656,51.75402548000002,-1.263350240000001,-772.0890792672311,7241.369447097612
1541.49134237746,51.75402590000003,-1.263349579999999,-2031.5466707219698,1901.344352361374
1542.4913471935197,51.75402600000003,-1.2633486200000004,-1840.7691637735957,-4362.966789207595
1543.4910494278001,51.75402248000004,-1.2633576800000008,-63.01178512557472,2254.768185822537
1544.4911127040402,51.75402200000004,-1.2633598799999992,28.746267516265874,1660.8989859821922
1545.4911759612398,51.75402200000004,-1.2633599999999992,78.45667506869087,1133.2334330947947
1546.4912392184806,51.75402200000004,-1.2633597999999997,15.257330492739506,2383.436822589982
1547.49130248526,51.75402200000004,-1.2633590400000008,159.76808856837158,1060.3965594116082
1548.4911659190607,51.75402200000004,-1.2633590000000008,274.6909644944774,3018.820052813122
1549.4910927102799,51.75402200000004,-1.2633601199999993,267.86648999322665,2751.1972513896803
1550.4910445353996,51.754021120000026,-1.2633608800000016,227.15741124421484,2866.3120964030463
1551.4909969995601,51.75402100000002,-1.2633610400000017,18.677244146395477,2187.175190450383
1552.49097986676,51.75402100000002,-1.2633618800000006,100.28189325874064,3018.382652584134
1553.4910426996,51.75402100000002,-1.2633620000000005,62.60017746745313,2005.96156119081
1554.4911055658404,51.75402100000002,-1.2633620000000005,25.948788659362993,2454.6621763649255
1555.49116846546,51.75402100000002,-1.2633620000000005,-7.79746779325541,3653.3131431987226
1556.4911945770402,51.75402100000002,-1.2633620000000005,-128.09498817933547,1457.74466677812
1557.4912514445605,51.75402100000002,-1.2633620000000005,-77.55787975454795,1483.3441394638392
1558.4912898061998,51.75402100000002,-1.2633620000000005,-86.2166938893469,1419.3289309410773
1559.4910583255398,51.75402100000002,-1.2633620000000005,7.175266067586614,776.031825862531
1560.4909608792007,51.75402100000002,-1.2633620000000005,-41.0358737632479,580.3560914353037
1561.4910050961603,51.75402100000002,-1.2633620000000005,-51.16432114744614,253.26487875295896
1562.4910675762405,51.75402100000002,-1.2633620000000005,48.9312008392992,103.80004091581819
1563.4911300942997,51.75402100000002,-1.2633620000000005,80.26518740560024,228.2078871071397
1564.4911925790602,51.75402100000002,-1.2633620000000005,-0.6613917245291134,237.8589491231347
1565.4912550876597,51.75402100000002,-1.2633620000000005,-45.92731890136116,82.47024663312078
1566.4912496183201,51.75402100000002,-1.2633620000000005,-66.66271942615641,51.208795181192734
1567.49111507876,51.75402100000002,-1.2633620000000005,-100.90637810453799,27.030014157808747
1568.49117751104,51.75402100000002,-1.2633620000000005,-147.5967899049312,22.314012768676694
1569.4912331245202,51.75402100000002,-1.2633620000000005,-116.22696059336903,-32.20067626261702
1570.4912587783201,51.75402100000002,-1.2633620000000005,-55.891769689358235,12.079921822098605
1571.4912186620998,51.75402100000002,-1.2633620000000005,-88.15267718369275,79.60350107429966
1572.4911927364396,51.75402100000002,-1.2633620000000005,-291.69341468715334,14.623028732819211
1573.4912346600001,51.75402100000002,-1.2633620000000005,-238.0765797346913,-187.9560953753459
1574.4934753445918,51.754021000000016,-1.2633620000000005,8.82146668469223,-79.90367630827095
1575.49128749824,51.75402100000002,-1.2633620000000005,48.97207876784296,201.75167715265945
1576.4913242004998,51.75402100000002,-1.2633620000000005,37.675152901815174,157.79483660479144
1577.49103692032,51.75402100000002,-1.2633620000000005,-9.973454606371291,138.9949379919033
1578.49101508124,51.75402100000002,-1.2633620000000005,7.618334061079618,98.45132538792241
1579.4910770128,51.75402100000002,-1.2633620000000005,41.46867522891857,109.70308484954123
1580.4911388490602,51.75402100000002,-1.2633620000000005,9.328442840589227,155.3274091717736
1581.49120076162,51.75402100000002,-1.2633620000000005,20.42565305924062,110.12752698634434
1582.4912625978402,51.75402100000002,-1.2633620000000005,22.96028018346143,122.78437280373308
1583.49132453898,51.75402100000002,-1.2633620000000005,22.252047350278396,124.98000674343912
1584.4911377047,51.75402100000002,-1.2633620000000005,-56.160049847840234,124.6987941341648
1585.49103124116,51.75402100000002,-1.2633620000000005,-99.64478003350185,50.96055963980296
1586.4910928914205,51.75402100000002,-1.2633620000000005,51.24869216099118,15.128454344028443
1587.4911545131401,51.75402100000002,-1.2633620000000005,-8.44329424481551,191.4217925001844
1588.49121615388,51.75402100000002,-1.2633620000000005,4.723453704633585,76.50240801973251
1589.4912446592002,51.75402100000002,-1.2633620000000005,7.514837592988833,123.435502538918
1590.49121396052,51.75402100000002,-1.2633620000000005,-6.734356876459226,140.5643635830835
1591.49125630358,51.75402100000002,-1.2633620000000005,-73.41640611016372,82.05370538382306
1592.49125316608,51.75402100000002,-1.2633620000000005,-81.57660846166519,29.10837681256741
1593.49130585178,51.75402100000002,-1.2633620000000005,-45.55544628642279,40.07043801873112
1594.4913672970806,51.75402100000002,-1.2633620000000005,10.049709872552844,86.54196642324968
1595.4912047193397,51.75402100000002,-1.2633620000000005,35.90476089386344,140.97983073548784
1596.4910898826204,51.75402100000002,-1.2633620000000005,18.28192864142955,146.46468455524337
1597.4911511133205,51.75402100000002,-1.2633620000000005,-35.25920107409095,121.3485821418522
1598.4912123726199,51.75402100000002,-1.2633620000000005,-7.667494768262672,61.123407632222985
1599.4912736414196,51.75402100000002,-1.2633620000000005,-14.439258137367856,104.56230669468768
1600.4913348863404,51.75402100000002,-1.2633620000000005,11.612796296704108,90.44305088422237
1601.4913226220401,51.75402100000002,-1.2633620000000005,-4.984113846085682,120.13833971088063
1602.49110084994,51.75402100000002,-1.2633620000000005,8.269253752654713,110.65412671177741
